price,bedrooms,bathrooms,sqft_living,condition,yr_built
313000,3,1.5,1340,3,1955
2384000,5,2.5,3650,5,1921
342000,3,2,1930,4,1966
420000,3,2.25,2000,4,1963
550000,4,2.5,1940,4,1976
490000,2,1,880,3,1938
335000,2,2,1350,3,1976
482000,4,2.5,2710,3,1989
452500,3,2.5,2430,4,1985
640000,4,2,1520,3,1945
463000,3,1.75,1710,3,1948
1400000,4,2.5,2920,5,1909
588500,3,1.75,2330,3,1980
365000,3,1,1090,4,1955
1200000,5,2.75,2910,3,1939
242500,3,1.5,1200,4,1965
419000,3,1.5,1570,4,1956
367500,4,3,3110,3,1997
257950,3,1.75,1370,3,1987
275000,3,1.5,1180,3,1983
750000,3,1.75,2240,5,1923
435000,4,1,1450,4,1954
626000,3,2.25,1750,3,2005
612500,4,2.5,2730,3,1991
495000,4,1.75,1600,3,1959
285000,3,2.5,2090,4,1987
615000,3,1.75,2360,4,1948
698000,4,2.25,2200,5,1920
675000,5,2.5,2820,3,1979
790000,3,2.5,2600,4,1951
382500,4,1.75,1560,4,1967
499950,4,2.5,2860,3,2004
650000,4,2,1820,3,1945
625000,4,2.5,2820,3,2014
400000,4,2.5,3630,3,1979
604000,3,2.5,3240,3,1995
440000,2,1,800,4,1944
287200,3,3,1850,4,1992
403000,3,2,1960,5,1957
750000,3,2.5,2390,4,1955
335000,3,2.25,1580,4,1978
260000,4,2,1480,4,1974
308500,2,1,850,4,1950
439950,3,2.5,1770,3,1990
235000,2,1,1210,2,1949
315000,3,1,1160,3,1968
437500,3,2.25,1970,4,1977
407500,3,2.5,1930,3,1996
445700,3,2.5,1270,3,2001
838000,4,2.5,3310,3,2001
630000,4,2.75,2710,3,2000
550000,3,1.75,2910,3,1979
805000,3,2,2710,4,1929
284000,3,1.75,1800,3,1968
470000,5,2.5,2210,3,1976
430000,4,1.5,1920,4,1954
491500,4,1.75,2190,3,1968
785000,5,3.25,3660,3,2006
385000,3,3.25,1320,3,2008
295000,2,2.5,1630,3,2009
555000,4,2.5,3310,3,2012
459990,3,2.5,2680,3,2013
625000,4,3.25,2730,3,2007
300000,3,2.5,2540,3,2006
625000,4,2.75,2920,3,2012
553000,2,1,900,3,1944
379880,3,2.5,1650,4,1986
310000,3,1,1010,4,1973
775000,2,2.5,2680,3,2004
365000,3,2.5,2200,5,1988
331950,4,2.5,2530,3,1990
783500,3,2.5,2850,3,1980
628000,4,2,2280,3,1900
560000,3,2.5,1900,3,1987
900000,3,1,1330,3,1928
531000,2,3,1270,3,2000
831000,4,3,2170,4,1982
780000,4,2.5,2730,3,1996
755000,4,2.5,2120,4,1960
705380,3,2.5,2490,3,2003
627000,4,2.25,1990,3,1973
865000,4,3,3690,3,1998
580000,2,1,2540,5,1942
410000,3,2.25,1800,4,1978
485000,4,3,2340,4,1979
400000,2,1.75,2110,2,1948
549000,2,1,1140,5,1908
620000,3,1.75,1480,3,2005
405000,2,3,1410,3,2006
232000,2,1,1200,4,1958
800866,5,2.5,3180,4,1990
650000,3,1.5,2160,4,1949
823000,6,1.75,2920,4,1908
770000,3,2,2350,4,1939
524000,3,1.75,1560,4,1944
541125,5,2.75,2740,4,1960
670000,3,2.5,1680,3,1909
384900,5,2.5,3090,3,1968
406100,3,2.25,1410,3,2005
1395000,5,3.5,4010,5,1971
736500,4,2.5,3180,3,2000
570000,3,2.25,2010,3,1975
787000,3,1.75,1330,3,1961
328000,4,2.5,2370,3,1998
435000,5,2,1840,4,1942
499000,4,2.5,2910,3,2006
501000,4,1,2070,3,1963
1090000,4,2.5,4340,3,1992
400000,2,1,840,3,1955
220000,4,1.5,1240,3,1971
657100,4,1,1390,3,1924
309950,4,2.75,2310,3,2006
300000,3,2,1050,3,1986
525888,5,1.75,2550,5,1960
740000,4,1.75,2010,3,1902
340000,5,1,1120,4,1962
398750,3,2.5,2230,3,1954
206000,2,1,810,5,1944
1030000,5,2.75,3190,3,1976
600000,3,1.75,1670,4,1976
379950,4,1.75,1970,5,1960
287000,3,1,1450,4,1953
2280000,7,8,13540,3,1999
309950,3,2.5,1880,3,1994
600000,3,1.75,1880,4,1945
418000,3,2,1410,4,1930
449250,4,2,1480,5,1928
329950,2,1,1140,4,1949
245000,3,1.75,1920,3,1984
549000,4,2.5,2910,3,2008
800000,3,2.5,3240,3,1994
249950,3,2,1550,4,1958
210000,5,2,2050,3,1956
1425000,2,2.5,2220,3,2000
585000,2,1,1770,3,1949
615000,4,1.75,2300,4,1977
618500,3,2,1800,4,1942
487585,4,1.75,2010,3,1977
509900,3,2.5,1790,3,2010
631625,4,2.5,2440,3,2014
555000,3,2.5,1940,3,2009
340000,2,1.5,1160,3,2001
830000,4,2.5,3400,3,2007
890000,4,4.25,4420,3,2006
366750,3,3,1571,3,2008
415000,3,2.25,1620,3,2010
416286,3,2.5,1408,3,2005
478000,3,2.5,3040,3,2007
890000,5,3.5,4490,3,2006
419190,2,2.5,1590,3,2014
712198,4,2.5,2450,3,2013
397000,4,2,1440,3,1971
450000,2,2,1100,3,1912
353000,3,1,1350,4,1947
609000,4,2.5,2150,3,1985
234000,3,1.75,1490,4,1975
561000,3,2,2000,3,1916
469000,2,1,1030,3,1924
329350,2,1,720,3,1942
488000,5,2,2020,4,1938
279900,3,1.75,1580,4,1962
